date,asset,old_weight,new_weight,turnover,transaction_cost,slippage_cost,portfolio_value
2014-10-15,BTC-USD,0.0,0.5,0.5,50.0,25.0,99850.0
2014-10-15,GLD,0.0,0.3,0.3,30.0,15.0,99850.0
2014-10-15,SPY,0.0,0.15,0.15,15.0,7.5,99850.0
2014-10-15,TLT,0.0,0.05,0.05,5.0,2.5,99850.0
