date,asset,old_weight,new_weight,turnover,transaction_cost,slippage_cost,portfolio_value
2014-10-15,BTC-USD,0.0,0.25,0.25,25.0,12.5,99850.0
2014-10-15,GLD,0.0,0.25,0.25,25.0,12.5,99850.0
2014-10-15,SPY,0.0,0.25,0.25,25.0,12.5,99850.0
2014-10-15,TLT,0.0,0.25,0.25,25.0,12.5,99850.0
2014-11-12,BTC-USD,0.25666788164918536,0.0,0.25666788164918536,25.880929818670495,12.940464909335248,100613.13396398997
2014-11-12,GLD,0.23241276043346693,0.0,0.23241276043346693,23.435181305479585,11.717590652739792,100613.13396398997
2014-11-12,SPY,0.2688328375985471,1.0,0.7311671624014529,73.72673937322969,36.863369686614845,100613.13396398997
2014-11-12,TLT,0.2420865203188006,0.0,0.2420865203188006,24.41062824907961,12.205314124539806,100613.13396398997
2015-09-29,SPY,0.9999999999999944,2.7200464103316264e-15,0.9999999999999918,93.72850288833006,46.86425144416503,93447.31737966585
2015-09-29,TLT,3.5058124936407252e-15,0.9999999999999973,0.9999999999999938,93.72850288833024,46.86425144416512,93447.31737966585
2015-10-27,SPY,2.9709473540974835e-15,0.8637997581701404,0.8637997581701374,81.09017286427812,40.54508643213906,93632.85308215756
2015-10-27,TLT,0.9999999999999971,0.13620024182985774,0.8637997581701393,81.0901728642783,40.54508643213915,93632.85308215756
2015-11-24,SPY,0.868387719973937,0.5114496792168978,0.3569380407570393,33.66639337868645,16.833196689343225,94218.99346419658
2015-11-24,TLT,0.13161228002606098,0.48855032078310207,0.35693804075704105,33.66639337868662,16.83319668934331,94218.99346419658
2015-12-23,BTC-USD,0.0,1.0,1.0,93.95030372195575,46.975151860977874,93668.45281078988
2015-12-23,SPY,0.5071162209488317,0.0,0.5071162209488317,47.64372298047316,23.82186149023658,93668.45281078988
2015-12-23,TLT,0.49288377905116887,0.0,0.49288377905116887,46.30658074148265,23.153290370741324,93668.45281078988
2018-09-06,BTC-USD,0.9999999999999996,0.6085050309712151,0.39149496902878445,248.05015358650303,124.02507679325151,632853.1450596978
2018-09-06,SPY,1.9167174057126311e-16,0.39149496902878483,0.39149496902878467,248.05015358650317,124.02507679325159,632853.1450596978
2018-10-04,BTC-USD,0.6073866388572583,0.6616009672077295,0.05421432835047124,34.51468937365179,17.257344686825896,636530.5418607842
2018-10-04,SPY,0.3926133611427414,0.3383990327922704,0.05421432835047102,34.514689373651656,17.257344686825828,636530.5418607842
