Date,0
2014-10-15,100000.0
2014-10-15,99578.3363252096
2014-10-16,98672.06732445412
2014-10-17,98849.1360097358
2014-10-20,99294.52413768828
2014-10-21,99862.07855290703
2014-10-22,99353.7901138789
2014-10-23,97664.4913340314
2014-10-24,97847.49222910345
2014-10-27,97460.56464740787
2014-10-28,97897.39611162359
2014-10-29,96143.45646593958
2014-10-30,96667.27287635961
2014-10-31,95929.70654440521
2014-11-03,95159.45933767657
2014-11-04,95337.95113457367
2014-11-05,95503.31602023222
2014-11-06,96068.43038326796
2014-11-07,96583.6858417095
2014-11-10,97370.55757187474
2014-11-11,97790.83994582552
2014-11-12,100613.13396398997
2014-11-13,100726.51074264101
2014-11-14,100751.15332086841
2014-11-17,100815.29141186901
2014-11-18,101395.69680166927
2014-11-19,101232.80060041814
2014-11-20,101410.2137069063
2014-11-21,101951.39573892878
2014-11-24,102237.08151114036
2014-11-25,102163.04802128357
2014-11-26,102424.19995445182
2014-11-28,102206.90286619957
2014-12-01,101494.09373082068
2014-12-02,102148.04499730069
2014-12-03,102541.85207851016
2014-12-04,102428.35047413188
2014-12-05,102595.88174111556
2014-12-08,101908.02446386822
2014-12-09,101838.9253704231
2014-12-10,100193.10607828975
2014-12-11,100699.77351181954
2014-12-12,99059.02986853765
2014-12-15,98376.19201200802
2014-12-16,97584.07792523933
2014-12-17,99478.68011311961
2014-12-18,101908.74527333236
2014-12-19,102341.4345152272
2014-12-22,102811.10266665292
2014-12-23,102949.7624213354
2014-12-24,102959.70336166295
2014-12-26,103291.17632999417
2014-12-29,103429.81754254708
2014-12-30,102873.35940299339
2014-12-31,101847.42033732476
2015-01-02,101792.9088302858
2015-01-05,99937.7452509662
2015-01-06,98991.97943847753
2015-01-07,100217.90487657153
2015-01-08,101980.69379473921
2015-01-09,101160.14582929932
2015-01-12,100364.59587620031
2015-01-13,100081.88838492938
2015-01-14,99475.86080863385
2015-01-15,98560.39283479191
2015-01-16,99844.55346704755
2015-01-20,100057.23637142287
2015-01-21,100561.03080988604
2015-01-22,102045.49076182685
2015-01-23,101484.4747264332
2015-01-26,101721.86834362327
2015-01-27,100371.17649495143
2015-01-28,99075.63723059911
2015-01-29,99987.24945391824
2015-01-30,98721.96321867868
2015-02-02,99937.02639599104
2015-02-03,101371.87676714604
2015-02-04,100985.12218804362
2015-02-05,101999.45300994671
2015-02-06,101717.02038437889
2015-02-09,101260.75675021613
2015-02-10,102333.7750828743
2015-02-11,102393.1104787732
2015-02-12,103373.1129530888
2015-02-13,103797.7692515864
2015-02-17,103960.94919158932
2015-02-18,103970.8659559924
2015-02-19,103896.56891745029
2015-02-20,104518.14999664921
2015-02-23,104503.30961586558
2015-02-24,104799.76591405064
2015-02-25,104710.65617572649
2015-02-26,104586.92863089188
2015-02-27,104230.06058990202
2015-03-02,104886.01893947119
2015-03-03,104454.70631576529
2015-03-04,104013.43551237741
2015-03-05,104127.16019747831
2015-03-06,102652.26515215223
2015-03-09,103076.83102171028
2015-03-10,101391.03775329732
2015-03-11,101153.31821648931
2015-03-12,102431.29164109867
2015-03-13,101801.21117235132
2015-03-16,103152.30907825487
2015-03-17,102845.26045483023
2015-03-18,104074.22681910235
2015-03-19,103598.3836039558
2015-03-20,104508.85899699351
2015-03-23,104305.01270934909
2015-03-24,103717.25914953125
2015-03-25,102186.14356412228
2015-03-26,101942.51113463182
2015-03-27,102175.66702266988
2015-03-30,103414.68467300573
2015-03-31,102506.89104426253
2015-04-01,102143.75970932662
2015-04-02,102510.55031465148
2015-04-06,103198.48040388686
2015-04-07,102924.9977905654
2015-04-08,103271.98852685174
2015-04-09,103727.82611823032
2015-04-10,104292.32520384787
2015-04-13,103819.5412545678
2015-04-14,104017.98822411266
2015-04-15,104483.67138645338
2015-04-16,104453.89870064904
2015-04-17,103245.31003602014
2015-04-20,104184.37879304402
2015-04-21,104060.21822832472
2015-04-22,104570.30786417646
2015-04-23,104833.10682318738
2015-04-24,105076.08634280082
2015-04-27,104638.27703875351
2015-04-28,104970.35562792959
2015-04-29,104537.58882153164
2015-04-30,103484.77898698502
2015-05-01,104600.65160555235
2015-05-04,104898.08040113968
2015-05-05,103689.87671847653
2015-05-06,103262.08966658828
2015-05-07,103673.29733006764
2015-05-08,105029.34532912433
2015-05-11,104526.88006509279
2015-05-12,104213.70466651516
2015-05-13,104233.59084088741
2015-05-14,105314.86383338133
2015-05-15,105428.92830664516
2015-05-18,105755.9721372614
2015-05-19,105721.21639706158
2015-05-20,105646.77498816833
2015-05-21,105953.99090842389
2015-05-22,105700.6088097933
2015-05-26,104557.97724091084
2015-05-27,105545.77449332649
2015-05-28,105426.62532162892
2015-05-29,104769.59119837798
2015-06-01,104982.72549048915
2015-06-02,104878.47370059609
2015-06-03,105155.99697566476
2015-06-04,104264.03442718451
2015-06-05,104085.22869340402
2015-06-08,103443.14513939459
2015-06-09,103428.27476868664
2015-06-10,104661.33710511916
2015-06-11,104998.1672214323
2015-06-12,104191.32483898055
2015-06-15,103743.8445810462
2015-06-16,104307.86550815648
2015-06-17,104476.46442594088
2015-06-18,105557.34744728071
2015-06-19,105087.67690939143
2015-06-22,105624.72372910951
2015-06-23,105699.45369471924
2015-06-24,104928.93782182419
2015-06-25,104609.46551417919
2015-06-26,104589.52196261266
2015-06-29,102372.88764912907
2015-06-30,102586.96946696272
2015-07-01,103405.96878475882
2015-07-02,103311.24545071603
2015-07-06,103016.83646725927
2015-07-07,103662.63963194378
2015-07-08,101908.69915031134
2015-07-09,102092.92244857571
2015-07-10,103370.36068538077
