,BTC-USD,GLD,SPY,TLT
0,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
1,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
2,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
3,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
4,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
5,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
6,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
7,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
8,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
9,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
10,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
11,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
12,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
13,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
14,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
15,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
16,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
17,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
18,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
19,0.0,0.0,0.9999999999999987,1.3877787807814439e-15
20,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
21,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
22,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
23,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
24,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
25,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
26,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
27,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
28,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
29,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
30,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
31,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
32,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
33,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
34,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
35,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
36,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
37,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
38,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
39,1.290539661613862e-16,0.0,0.9554103116025691,0.04458968839743086
40,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
41,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
42,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
43,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
44,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
45,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
46,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
47,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
48,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
49,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
50,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
51,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
52,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
53,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
54,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
55,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
56,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
57,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
58,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
59,0.6656113682223354,0.0,0.3343886317776643,3.3045810870530116e-16
60,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
61,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
62,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
63,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
64,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
65,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
66,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
67,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
68,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
69,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
70,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
71,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
72,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
73,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
74,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
75,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
76,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
77,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
78,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
79,0.9999999999999989,1.2128343004141228e-15,0.0,0.0
80,0.9999999999999993,4.0194670479516576e-16,2.371479745773692e-16,0.0
81,0.9999999999999993,4.0194670479516576e-16,2.371479745773692e-16,0.0
82,0.9999999999999993,4.0194670479516576e-16,2.371479745773692e-16,0.0
